subject,issuer,subject_common_name,not_before,not_after,key_size,label
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",ICICI BANK,2015-06-02T13:33:35+00:00,2036-03-10T06:33:37+00:00,2036,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",Vivek Soneja,2021-05-05T13:33:35+00:00,2052-12-29T06:33:37+00:00,2676,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",BHIM,2016-11-25T13:33:35+00:00,2043-01-26T06:33:37+00:00,3956,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",AXIS BANK,2023-06-17T13:33:35+00:00,2054-05-31T06:33:37+00:00,2420,benign
Common Name: PLgkDbhpriL,"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",PLgkDbhpriL,2023-03-10T13:08:31+00:00,2036-08-12T05:40:48+00:00,640,malicious
"Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91","Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",sklndg,2023-05-09T13:08:31+00:00,2038-01-18T05:40:48+00:00,1856,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",ICICI BANK,2022-05-18T13:33:35+00:00,2062-08-26T06:33:37+00:00,3252,benign
Common Name: ljRKCxEllEZC,"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",ljRKCxEllEZC,2025-05-09T13:08:31+00:00,2043-10-24T05:40:48+00:00,1408,malicious
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",AXIS BANK,2012-01-27T13:33:35+00:00,2050-06-12T06:33:37+00:00,3508,benign
Organizational Unit: Federal Bank,"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",,2023-03-05T13:33:35+00:00,2065-04-30T06:33:37+00:00,3252,benign
"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india","Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",axis,2023-01-10T13:08:31+00:00,2043-04-23T05:40:48+00:00,832,malicious
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",HDFC Bank,2018-12-06T13:33:35+00:00,2049-07-12T06:33:37+00:00,2740,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",BHIM,2013-10-13T13:33:35+00:00,2049-06-26T06:33:37+00:00,1844,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",Organizational Unit: Federal Bank,Paytm,2019-11-05T13:33:35+00:00,2052-12-10T06:33:37+00:00,1524,benign
Organizational Unit: Federal Bank,"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",,2021-04-30T13:33:35+00:00,2041-08-25T06:33:37+00:00,2228,benign
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",ICICI BANK,2019-07-12T13:33:35+00:00,2035-03-19T06:33:37+00:00,3956,benign
Common Name: ljRKCxEllEZC,"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",ljRKCxEllEZC,2022-02-18T13:08:31+00:00,2040-03-21T05:40:48+00:00,896,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",ICICI BANK,2016-05-09T13:33:35+00:00,2038-09-04T06:33:37+00:00,692,benign
Common Name: bklcBIPVzk,Common Name: bklcBIPVzk,bklcBIPVzk,2024-11-09T13:08:31+00:00,2049-07-08T05:40:48+00:00,1280,malicious
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",HDFC Bank,2021-03-25T13:33:35+00:00,2042-12-23T06:33:37+00:00,2996,benign
"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",Common Name: ljRKCxEllEZC,axis,2021-08-19T13:08:31+00:00,2042-04-15T05:40:48+00:00,1216,malicious
"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷","Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",的撒娇好,2024-07-25T13:08:31+00:00,2038-03-30T05:40:48+00:00,832,malicious
"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india","Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",axis,2023-04-06T13:08:31+00:00,2038-07-06T05:40:48+00:00,1536,malicious
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",Android,2016-03-03T13:33:35+00:00,2048-09-04T06:33:37+00:00,1268,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",AXIS BANK,2012-11-27T13:33:35+00:00,2043-09-04T06:33:37+00:00,3764,benign
Common Name: tQPtic,Common Name: bklcBIPVzk,tQPtic,2021-10-09T13:08:31+00:00,2043-10-22T05:40:48+00:00,1408,malicious
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",LOTUS,2022-06-22T13:33:35+00:00,2056-08-11T06:33:37+00:00,2548,benign
Common Name: ljRKCxEllEZC,Common Name: ljRKCxEllEZC,ljRKCxEllEZC,2022-11-01T13:08:31+00:00,2038-01-04T05:40:48+00:00,1600,malicious
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",Android,2017-04-22T13:33:35+00:00,2047-03-01T06:33:37+00:00,3188,benign
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",ICICI BANK,2016-04-04T13:33:35+00:00,2038-04-25T06:33:37+00:00,756,benign
Organizational Unit: Federal Bank,"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",,2013-02-12T13:33:35+00:00,2060-09-04T06:33:37+00:00,2932,benign
Organizational Unit: Federal Bank,"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",,2011-08-21T13:33:35+00:00,2037-07-30T06:33:37+00:00,4084,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",Vivek Soneja,2014-11-20T13:33:35+00:00,2036-05-17T06:33:37+00:00,756,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",Android,2022-03-12T13:33:35+00:00,2043-06-04T06:33:37+00:00,2484,benign
"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india","Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA",axis,2025-05-15T13:08:31+00:00,2044-04-20T05:40:48+00:00,1856,malicious
Common Name: ljRKCxEllEZC,"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",ljRKCxEllEZC,2025-06-11T13:08:31+00:00,2045-11-15T05:40:48+00:00,1088,malicious
"Common Name: CodeSigning for STATE BANK OF INDIA, Organizational Unit: Android Code Signing, Organization: STATE BANK OF INDIA, Locality: Navi Mumbai, State/Province: Maharashtra, Country: IN","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",CodeSigning for STATE BANK OF INDIA,2016-02-10T13:33:35+00:00,2064-06-11T06:33:37+00:00,2932,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",Organizational Unit: Federal Bank,AXIS BANK,2016-08-01T13:33:35+00:00,2050-12-25T06:33:37+00:00,1076,benign
Common Name: ljRKCxEllEZC,"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",ljRKCxEllEZC,2024-04-12T13:08:31+00:00,2041-07-22T05:40:48+00:00,1600,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",ICICI BANK,2021-02-27T13:33:35+00:00,2055-03-15T06:33:37+00:00,2228,benign
Common Name: ljRKCxEllEZC,"Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91",ljRKCxEllEZC,2023-12-17T13:08:31+00:00,2039-11-15T05:40:48+00:00,1984,malicious
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",Bank of Baroda,2021-03-15T13:33:35+00:00,2034-07-23T06:33:37+00:00,4020,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",Vivek Soneja,2021-10-04T13:33:35+00:00,2065-12-20T06:33:37+00:00,1268,benign
"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷","Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91",的撒娇好,2024-02-14T13:08:31+00:00,2040-03-02T05:40:48+00:00,1088,malicious
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",Bank of Baroda,2017-06-30T13:33:35+00:00,2045-09-29T06:33:37+00:00,4084,benign
Common Name: xolbzxs,Common Name: xolbzxs,xolbzxs,2021-04-07T13:08:31+00:00,2035-07-29T05:40:48+00:00,1472,malicious
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",Paytm,2012-07-25T13:33:35+00:00,2054-10-10T06:33:37+00:00,2356,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",BHIM,2012-08-18T13:33:35+00:00,2038-02-10T06:33:37+00:00,1908,benign
Organizational Unit: Federal Bank,"Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",,2014-10-02T13:33:35+00:00,2052-12-26T06:33:37+00:00,948,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",LOTUS,2022-10-27T13:33:35+00:00,2042-12-13T06:33:37+00:00,1524,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",Android,2011-10-15T13:33:35+00:00,2047-11-23T06:33:37+00:00,820,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",AXIS BANK,2021-08-08T13:33:35+00:00,2042-09-06T06:33:37+00:00,1588,benign
Organizational Unit: Federal Bank,"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",,2014-12-29T13:33:35+00:00,2051-12-07T06:33:37+00:00,1460,benign
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",Bank of Baroda,2023-10-23T13:33:35+00:00,2065-08-18T06:33:37+00:00,1972,benign
Common Name: smgR,"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",smgR,2021-12-03T13:08:31+00:00,2041-02-09T05:40:48+00:00,1152,malicious
Common Name: ljRKCxEllEZC,Common Name: tQPtic,ljRKCxEllEZC,2022-05-20T13:08:31+00:00,2042-09-15T05:40:48+00:00,1728,malicious
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",HDFC Bank,2022-06-27T13:33:35+00:00,2048-02-06T06:33:37+00:00,2676,benign
"Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91",Common Name: PLgkDbhpriL,sklndg,2025-06-10T13:08:31+00:00,2047-03-13T05:40:48+00:00,1152,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",Organizational Unit: Federal Bank,fssnet mpay,2020-04-21T13:33:35+00:00,2044-05-24T06:33:37+00:00,1972,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",Vivek Soneja,2021-10-23T13:33:35+00:00,2049-12-15T06:33:37+00:00,820,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",BHIM,2022-04-19T13:33:35+00:00,2056-03-27T06:33:37+00:00,3060,benign
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",ICICI BANK,2019-07-24T13:33:35+00:00,2041-06-27T06:33:37+00:00,948,benign
Common Name: uDxBFvtzt,Common Name: ljRKCxEllEZC,uDxBFvtzt,2024-04-03T13:08:31+00:00,2038-09-07T05:40:48+00:00,896,malicious
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",LOTUS,2021-06-18T13:33:35+00:00,2040-02-21T06:33:37+00:00,2356,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",Vivek Soneja,2013-09-13T13:33:35+00:00,2040-07-13T06:33:37+00:00,1268,benign
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",Organizational Unit: Federal Bank,ICICI BANK,2015-11-12T13:33:35+00:00,2062-06-17T06:33:37+00:00,2868,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",BHIM,2011-09-07T13:33:35+00:00,2045-04-19T06:33:37+00:00,2036,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",BHIM,2017-01-15T13:33:35+00:00,2060-07-02T06:33:37+00:00,1844,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",Paytm,2018-09-29T13:33:35+00:00,2042-05-24T06:33:37+00:00,2548,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",LOTUS,2016-05-29T13:33:35+00:00,2046-01-01T06:33:37+00:00,2804,benign
Common Name: xolbzxs,Common Name: tQPtic,xolbzxs,2023-02-01T13:08:31+00:00,2048-02-02T05:40:48+00:00,768,malicious
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",Vivek Soneja,2022-04-08T13:33:35+00:00,2056-07-17T06:33:37+00:00,4084,benign
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",AXIS BANK,2015-12-06T13:33:35+00:00,2047-10-01T06:33:37+00:00,2548,benign
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",HDFC Bank,2020-08-05T13:33:35+00:00,2051-05-25T06:33:37+00:00,1396,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",Paytm,2023-01-29T13:33:35+00:00,2042-07-27T06:33:37+00:00,756,benign
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",HDFC Bank,2014-04-30T13:33:35+00:00,2040-11-10T06:33:37+00:00,564,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US","Common Name: Symantec CA for Android, Organizational Unit: Android Applications, Organization: Symantec Corporation, Country: US",Android,2016-06-15T13:33:35+00:00,2045-04-25T06:33:37+00:00,3636,benign
"Common Name: sklndg, Organizational Unit: irugshel, Organization: dfuilgh, Locality: sdjkflcnjladsn, State/Province: oisdfhl, Country: 91","Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",sklndg,2025-06-20T13:08:31+00:00,2043-07-26T05:40:48+00:00,1408,malicious
Common Name: uDxBFvtzt,"Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",uDxBFvtzt,2021-08-07T13:08:31+00:00,2044-10-07T05:40:48+00:00,896,malicious
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",LOTUS,2011-06-22T13:33:35+00:00,2055-10-22T06:33:37+00:00,564,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",LOTUS,2015-04-02T13:33:35+00:00,2064-04-13T06:33:37+00:00,1396,benign
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",BHIM,2015-10-07T13:33:35+00:00,2044-05-07T06:33:37+00:00,1524,benign
Common Name: smgR,Common Name: PLgkDbhpriL,smgR,2023-06-24T13:08:31+00:00,2044-04-26T05:40:48+00:00,576,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",ICICI BANK,2020-04-22T13:33:35+00:00,2044-03-12T06:33:37+00:00,2164,benign
Common Name: PLgkDbhpriL,Common Name: bklcBIPVzk,PLgkDbhpriL,2022-10-01T13:08:31+00:00,2048-02-17T05:40:48+00:00,2048,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",fssnet mpay,2017-05-05T13:33:35+00:00,2053-09-08T06:33:37+00:00,4084,benign
Common Name: ljRKCxEllEZC,Common Name: PLgkDbhpriL,ljRKCxEllEZC,2021-09-09T13:08:31+00:00,2038-12-27T05:40:48+00:00,1152,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",ICICI BANK,2018-02-19T13:33:35+00:00,2038-05-31T06:33:37+00:00,3700,benign
Common Name: uDxBFvtzt,"Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA",uDxBFvtzt,2024-09-07T13:08:31+00:00,2038-05-02T05:40:48+00:00,1792,malicious
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",Organizational Unit: Federal Bank,LOTUS,2014-12-04T13:33:35+00:00,2058-03-15T06:33:37+00:00,3380,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",Vivek Soneja,2022-12-29T13:33:35+00:00,2043-12-29T06:33:37+00:00,2356,benign
"Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",Bank of Baroda,2015-08-26T13:33:35+00:00,2061-05-17T06:33:37+00:00,3572,benign
